Fecha,Precio,Producto,Grupo,Anio,Mes,diesel,gas_regular,gas_especial,precipitacion_mm,lluvia_max_mm,ipc_transporte,area_ha,produccion_t,rendimiento_kg_ha,mes,trimestre,semana_anio,mes_sin,mes_cos,semana_sin,semana_cos,precio_lag1,precio_lag2,precio_lag4,precio_lag8,media_movil_4,desv_movil_4,media_movil_8,desv_movil_8,media_movil_12,desv_movil_12,es_cosecha
2021-08-22,16.89777777777778,TOMATE DE PASTA GRANDE,TOMATE,2021,8,3.2266666666666666,3.796666666666667,4.0,109.962,147.8,112.71,422.0,23016.73,54567.7,8,3,33,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,12.440000000000001,11.796666666666667,12.283333333333335,18.413333333333334,11.918333333333335,0.5789038172526126,13.425833333333335,2.8122107611413747,13.47824074074074,2.403339822550316,0
2021-08-29,15.52888888888889,TOMATE DE PASTA GRANDE,TOMATE,2021,8,3.192380952380952,3.779523809523809,3.962857142857143,56.402,117.8,112.71,422.0,23016.73,54567.7,8,3,34,-0.8660254037844385,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,16.89777777777778,12.440000000000001,11.153333333333334,17.240000000000002,13.071944444444444,2.604083746828015,13.23638888888889,2.4568223946104855,13.903055555555559,2.527082316362098,0
2021-09-05,10.93,TOMATE DE PASTA GRANDE,TOMATE,2021,9,3.186666666666666,3.776666666666666,3.956666666666667,58.578,122.0,112.13,422.0,23016.73,54567.7,9,3,35,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,15.52888888888889,16.89777777777778,11.796666666666667,13.040000000000001,14.165833333333335,2.443555625446288,13.0225,2.1082321848710746,14.14787037037037,2.530729676491198,0
2021-09-12,10.791111111111112,TOMATE DE PASTA GRANDE,TOMATE,2021,9,3.1809523809523808,3.759523809523809,3.905238095238095,137.219,197.8,112.13,422.0,23016.73,54567.7,9,3,36,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,10.93,15.52888888888889,12.440000000000001,11.040000000000001,13.949166666666667,2.7436460639593867,12.758750000000001,2.233966303534202,13.79277777777778,2.6663521068681493,0
2021-09-19,12.372222222222224,TOMATE DE PASTA GRANDE,TOMATE,2021,9,3.1799999999999997,3.7566666666666664,3.896666666666666,34.107,84.6,112.13,422.0,23016.73,54567.7,9,3,37,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,10.791111111111112,10.93,16.89777777777778,12.283333333333335,13.536944444444444,3.1410615718820143,12.727638888888889,2.2628678435615788,13.462870370370373,2.779657120145263,0
2021-09-26,14.913333333333332,TOMATE DE PASTA GRANDE,TOMATE,2021,9,3.237142857142857,3.7652380952380957,3.890952380952381,81.89,758.0,112.13,422.0,23016.73,54567.7,9,3,38,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,12.372222222222224,10.791111111111112,15.52888888888889,11.153333333333334,12.405555555555557,2.2015159386167413,12.73875,2.2605916440455878,12.959444444444445,2.3087306359275614,0
2021-10-03,15.875,TOMATE DE PASTA GRANDE,TOMATE,2021,10,3.2466666666666666,3.766666666666667,3.89,28.262,66.8,112.85,422.0,23016.73,54567.7,10,4,39,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,14.913333333333332,12.372222222222224,10.93,11.796666666666667,12.251666666666665,1.9130280007588112,13.20875,2.274705278698377,12.765555555555556,1.992623208306222,0
2021-10-10,27.212929292929296,TOMATE DE PASTA GRANDE,TOMATE,2021,10,3.318095238095238,3.7495238095238093,3.878571428571429,61.594,107.0,112.85,422.0,23016.73,54567.7,10,4,40,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,15.875,14.913333333333332,10.791111111111112,12.440000000000001,13.487916666666667,2.3271952941776926,13.718541666666667,2.368115528961729,13.001805555555556,2.1867280664600743,0
2021-10-17,19.419999999999998,TOMATE DE PASTA GRANDE,TOMATE,2021,10,3.3300000000000005,3.7466666666666666,3.8766666666666674,41.412000000000006,129.4,112.85,422.0,23016.73,54567.7,10,4,41,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,27.212929292929296,15.875,12.372222222222224,16.89777777777778,17.593371212121212,6.581076332919714,15.565157828282828,5.243222792155589,14.349549663299664,4.561797519366855,0
2021-10-24,18.8,TOMATE DE PASTA GRANDE,TOMATE,2021,10,3.481428571428571,3.8352380952380956,3.970952380952381,58.775,101.6,112.85,422.0,23016.73,54567.7,10,4,42,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.35460488704253557,19.419999999999998,27.212929292929296,14.913333333333332,15.52888888888889,19.355315656565658,5.585400020049225,15.880435606060606,5.408042005846904,14.944271885521886,4.730037911823687,0
